name,category,available,scale_free,duplicate_of,pct_valid,degenerate,mean_abs_value,corr_with_log_price
vroc,liquidity,True,True,,99.99231697596174,False,0.4784592557528658,-0.002538317510397097
dollar_index_change,macro,True,True,,100.0,True,1.4391566848714583,
gold_price_change,macro,True,True,,100.0,True,56.94265630471685,
implied_vol_change,macro,True,True,,100.0,True,4.41975827058455,
interest_rate,macro,True,True,,100.0,True,0.2116035094327823,
oil_price_change,macro,True,True,,100.0,True,5.971738670435532,
short_rate,macro,True,True,,100.0,True,0.13178104574192642,
bollinger_position,mean_reversion,True,True,,99.9940776689705,False,0.5478562107323157,0.06544491934854504
distance_from_high,mean_reversion,True,False,,99.9940776689705,False,9.818614079334639,0.5925384649458844
distance_from_low,mean_reversion,True,False,,99.9940776689705,False,10.05366927286437,0.7408119608760756
ema_reversion,mean_reversion,True,False,,99.9940776689705,False,4.636146504803481,-0.15739284774692647
keltner_position,mean_reversion,True,True,,99.9940776689705,False,0.5699097049809481,0.09149950812946205
ma_reversion,mean_reversion,True,False,mean_reversion,99.9940776689705,False,5.4331878088337495,-0.13820309002690964
mean_reversion,mean_reversion,True,False,,99.9940776689705,False,5.4331878088337495,-0.13820309002690964
percent_b,mean_reversion,True,True,bollinger_position,99.9940776689705,False,54.78562107323156,0.06544491934854504
rsi_reversion,mean_reversion,True,True,,99.99567829897848,False,48.00496853101325,-0.10395555555662596
zscore_reversion,mean_reversion,True,True,,99.9940776689705,False,1.1201965821970004,0.06544491934854504
adx_momentum,momentum,True,True,,99.9836735739187,False,6.903839876827009,0.00439214457014105
atr_momentum,momentum,True,False,,99.99119653495616,False,0.5698281498068977,-0.06578645100119147
cmo,momentum,True,True,,99.99567829897848,False,27.809140616509058,0.07568660981218615
dpo,momentum,True,False,,99.99375754296891,False,7.358280697418446,0.14093986912197734
macd_momentum,momentum,True,False,,99.98431382592189,False,2.4227492846221295,0.010798330293776543
momentum_oscillator,momentum,True,True,roc,99.99567829897848,False,0.05702620980862675,0.06128699909664774
price_momentum,momentum,True,False,,99.99567829897848,False,8.230054798367599,0.13132268495112426
roc,momentum,True,True,,99.99567829897848,False,0.05702620980862675,0.06128699909664774
rsi_momentum,momentum,True,True,,99.99071634595377,False,11.0565822058609,0.0028006451988948013
smi,momentum,True,True,,99.99599842498007,False,0.541859676780009,0.07252451923773348
volume_momentum,momentum,True,False,,99.99567829897848,False,2709295.445194461,0.00929914846359293
asset_turnover,quality,True,True,,85.96759684611864,False,0.6564668886614117,0.13706859469371213
cash_conversion_cycle,quality,True,True,,32.39355010131988,False,93.70555760365033,0.12025436186310116
debt_to_equity,quality,True,True,,74.00672904855351,False,2.7510382655659082,-0.021384890035218967
earnings_stability,quality,True,True,,90.02087221530394,False,1.413618448034664,-0.105976128847183
gross_profit_margin,quality,True,True,,55.457988264180784,False,0.7044262927647773,0.1653704726725844
interest_coverage,quality,True,True,,61.92597406339135,False,33.72355390471622,0.32331446210715875
net_profit_margin,quality,True,True,,78.6429538666419,False,0.6207168794485819,0.18726580872660878
operating_profit_margin,quality,True,True,,67.37868024854583,False,0.7163676652579152,0.22922566261283878
atr_technical,technical,True,False,atr,99.99599842498007,False,3.86588904547229,0.9431815729364043
bollinger_bands,technical,True,False,,99.9940776689705,False,19.008847136606843,0.8476745837490842
cci,technical,True,True,,99.9940776689705,False,94.53317138356854,0.06482435362504345
exp_moving_average,technical,True,False,,99.9940776689705,False,150.0856494895463,0.998993174869905
macd,technical,True,False,,99.99215691296094,False,2.5304263059438368,0.18725023296922066
moving_average,technical,True,False,,99.9940776689705,False,150.12357339365687,0.9986551716040453
rsi,technical,True,True,,99.99567829897848,False,51.99503146898675,0.10395555555662596
stochastic_oscillator,technical,True,True,,99.99599842498007,False,54.3547124595516,0.07252451923773348
williams_r,technical,True,True,,99.99599842498007,False,45.64528754044839,0.07252451923773348
atr,volatility,True,False,,99.99599842498007,False,3.86588904547229,0.9431815729364043
bollinger_width,volatility,True,True,,99.9940776689705,False,0.13195796517517655,-0.1288372301371923
chaikin_volatility,volatility,True,True,,99.9940776689705,False,0.19193221327125368,0.013989468718768413
garman_klass,volatility,True,True,,100.0,False,0.015367117711887729,-0.14934921288123082
historical_volatility,volatility,True,True,,99.99375754296891,False,0.3063852569252861,-0.17850547780549927
parkinson,volatility,True,True,,99.9940776689705,False,0.016397107790500774,-0.20202543687121452
std_dev,volatility,True,False,,99.9940776689705,False,4.752211784151711,0.8476745837490842
ulcer_index,volatility,True,True,,99.99167672395855,False,4.603278404574282,-0.16477611131969727
volatility_ratio,volatility,True,True,,99.97791130589,False,0.5106208622556316,0.005580581117525839
yang_zhang,volatility,True,True,,99.99375754296891,False,0.021485288600953074,-0.17696150557499646
