fold,variant,alpha,category,mean_ic,confidence_pct,risk_pct,score
fold_3,full,volatility_ratio,volatility,0.012798285560115863,0.7777777777777778,0.9629629629629629,0.8518518518518519
fold_3,no_csa,earnings_yield,fundamental,0.01030674671089299,,0.9135802469135802,0.9135802469135802
fold_3,no_csa,retained_earnings_growth,growth,0.012290826642287289,,0.9382716049382716,0.9382716049382717
fold_3,no_csa,amihud_illiquidity,liquidity,0.0093913261807877,,0.9876543209876543,0.9876543209876543
fold_3,no_csa,bollinger_position,mean_reversion,0.003488002739985341,,0.49382716049382713,0.49382716049382713
fold_3,no_csa,volume_momentum,momentum,0.01731940463325463,,0.9506172839506173,0.9506172839506173
fold_3,no_csa,earnings_stability,quality,0.007173454417774222,,1.0,1.0
fold_3,no_csa,atr_technical,technical,0.008755573009032252,,0.7962962962962963,0.7962962962962963
fold_3,no_csa,volatility_ratio,volatility,0.012798285560115863,,0.9629629629629629,0.9629629629629629
fold_3,no_rpa,price_to_earnings,fundamental,0.02037132639271956,0.9012345679012346,,0.9012345679012346
fold_3,no_rpa,cash_flow_growth,growth,0.02917489929378273,0.9629629629629629,,0.9629629629629629
fold_3,no_rpa,return_on_assets,liquidity,0.028213729332960027,0.9506172839506173,,0.9506172839506172
fold_3,no_rpa,rsi_reversion,mean_reversion,0.004977176609679627,0.4012345679012346,,0.4012345679012346
fold_3,no_rpa,atr_momentum,momentum,-0.022612118758881517,0.9259259259259259,,0.925925925925926
fold_3,no_rpa,operating_profit_margin,quality,0.033957158893213255,1.0,,1.0
fold_3,no_rpa,macd,technical,-0.015018379451901178,0.8271604938271605,,0.8271604938271605
fold_3,no_rpa,ulcer_index,volatility,0.017425208176654647,0.8765432098765432,,0.8765432098765432
fold_4,full,cash_flow_yield,fundamental,0.03011393539751543,0.9506172839506173,0.9012345679012346,0.9308641975308641
fold_4,full,dividends_growth,growth,0.007892963175805174,0.38271604938271603,0.9135802469135802,0.5950617283950617
fold_4,full,high_low_spread,liquidity,-0.02686300566220275,0.9259259259259259,0.37037037037037035,0.7037037037037037
fold_4,full,distance_from_high,mean_reversion,-0.022169871812415396,0.8518518518518519,0.345679012345679,0.6493827160493827
fold_4,full,adx_momentum,momentum,0.024277202903424774,0.9012345679012346,0.9753086419753086,0.9308641975308642
fold_4,full,cash_conversion_cycle,quality,-0.02388842823620654,0.8888888888888888,0.5308641975308642,0.745679012345679
fold_4,full,rsi,technical,0.020570213496940697,0.8333333333333334,0.4567901234567901,0.682716049382716
fold_4,full,ulcer_index,volatility,-0.03289630001604809,0.9629629629629629,0.3950617283950617,0.7358024691358024
fold_4,no_csa,earnings_yield,fundamental,0.0198162632401269,,0.9629629629629629,0.9629629629629629
fold_4,no_csa,dividends_growth,growth,0.007892963175805174,,0.9135802469135802,0.9135802469135802
fold_4,no_csa,debt_to_equity_liq,liquidity,0.0034277361318007507,,0.9938271604938271,0.9938271604938271
fold_4,no_csa,bollinger_position,mean_reversion,0.01176895630715507,,0.6666666666666666,0.6666666666666666
fold_4,no_csa,adx_momentum,momentum,0.024277202903424774,,0.9753086419753086,0.9753086419753088
fold_4,no_csa,debt_to_equity,quality,0.0034277361318007507,,0.9938271604938271,0.9938271604938271
fold_4,no_csa,cci,technical,0.01259251186084842,,0.691358024691358,0.6913580246913579
fold_4,no_csa,volatility_ratio,volatility,-0.005703458079803226,,0.9382716049382716,0.9382716049382717
fold_4,no_rpa,cash_flow_yield,fundamental,0.03011393539751543,0.9506172839506173,,0.9506172839506172
fold_4,no_rpa,revenue_growth,growth,-0.016927713959372318,0.7592592592592593,,0.7592592592592593
fold_4,no_rpa,high_low_spread,liquidity,-0.02686300566220275,0.9259259259259259,,0.925925925925926
fold_4,no_rpa,distance_from_high,mean_reversion,-0.022169871812415396,0.8518518518518519,,0.8518518518518519
fold_4,no_rpa,adx_momentum,momentum,0.024277202903424774,0.9012345679012346,,0.9012345679012346
fold_4,no_rpa,cash_conversion_cycle,quality,-0.02388842823620654,0.8888888888888888,,0.888888888888889
fold_4,no_rpa,atr_technical,technical,-0.02271272301338813,0.8703703703703703,,0.8703703703703702
fold_4,no_rpa,yang_zhang,volatility,-0.04743801010501228,1.0,,1.0
fold_5,full,sales_to_price,fundamental,0.04482188724444647,0.9567901234567902,0.9259259259259259,0.9444444444444444
fold_5,full,ebitda_growth,growth,-0.04549538006669904,0.9753086419753086,0.8518518518518519,0.9259259259259259
fold_5,full,price_to_sales,liquidity,-0.04482188724444647,0.9567901234567902,0.5185185185185185,0.7814814814814814
fold_5,full,distance_from_low,mean_reversion,-0.038634853391125955,0.9012345679012346,0.4074074074074074,0.7037037037037037
fold_5,full,price_momentum,momentum,-0.019339430149965923,0.5308641975308642,0.6296296296296297,0.5703703703703704
fold_5,full,net_profit_margin,quality,-0.028820947465833326,0.654320987654321,0.9382716049382716,0.7679012345679013
fold_5,full,bollinger_bands,technical,-0.03702459723180228,0.845679012345679,0.5987654320987654,0.7469135802469136
fold_5,full,std_dev,volatility,-0.03702459723180228,0.845679012345679,0.5987654320987654,0.7469135802469136
fold_5,no_csa,sales_to_price,fundamental,0.04482188724444647,,0.9259259259259259,0.9259259259259259
fold_5,no_csa,book_value_growth,growth,-0.021226354270858408,,0.9814814814814815,0.9814814814814815
fold_5,no_csa,debt_to_equity_liq,liquidity,0.01055913561129047,,0.9567901234567902,0.9567901234567902
fold_5,no_csa,ema_reversion,mean_reversion,0.01860492144924138,,0.6666666666666666,0.6666666666666666
fold_5,no_csa,atr_momentum,momentum,0.008134368258461885,,0.8148148148148148,0.8148148148148149
fold_5,no_csa,earnings_stability,quality,-0.025143189804874337,,1.0,1.0
fold_5,no_csa,bollinger_bands,technical,-0.03702459723180228,,0.5987654320987654,0.5987654320987654
fold_5,no_csa,chaikin_volatility,volatility,-0.0035386720578581346,,0.8271604938271605,0.8271604938271605
fold_5,no_rpa,cash_flow_yield,fundamental,0.045888217612770364,0.9876543209876543,,0.9876543209876543
fold_5,no_rpa,ebitda_growth,growth,-0.04549538006669904,0.9753086419753086,,0.9753086419753086
fold_5,no_rpa,price_to_cash_flow,liquidity,-0.046426085916881105,1.0,,1.0
fold_5,no_rpa,distance_from_low,mean_reversion,-0.038634853391125955,0.9012345679012346,,0.9012345679012346
fold_5,no_rpa,price_momentum,momentum,-0.019339430149965923,0.5308641975308642,,0.5308641975308642
fold_5,no_rpa,interest_coverage,quality,-0.04187847417786641,0.9382716049382716,,0.9382716049382716
fold_5,no_rpa,atr_technical,technical,-0.03876676858033106,0.9197530864197531,,0.9197530864197531
fold_5,no_rpa,atr,volatility,-0.03876676858033106,0.9197530864197531,,0.9197530864197531
fold_6,full,sales_to_price,fundamental,0.016453988002721076,0.9074074074074074,0.9382716049382716,0.9197530864197531
fold_6,full,dividends_growth,growth,0.009650446487381732,0.7407407407407407,0.9753086419753086,0.8345679012345679
fold_6,full,price_to_sales,liquidity,-0.016453988002721076,0.9074074074074074,0.8518518518518519,0.8851851851851852
fold_6,full,distance_from_high,mean_reversion,0.00922346304446427,0.7037037037037037,0.8641975308641975,0.7679012345679013
fold_6,full,macd_momentum,momentum,0.016125697244410143,0.8888888888888888,0.8888888888888888,0.8888888888888888
fold_6,full,asset_turnover,quality,0.022043306226190565,0.9753086419753086,0.9135802469135802,0.9506172839506173
fold_6,full,atr_technical,technical,0.004328849546219859,0.4506172839506173,0.7469135802469136,0.5691358024691358
fold_6,full,chaikin_volatility,volatility,-0.009687312463815543,0.7530864197530864,0.6172839506172839,0.6987654320987654
fold_6,no_csa,sales_to_price,fundamental,0.016453988002721076,,0.9382716049382716,0.9382716049382717
fold_6,no_csa,retained_earnings_growth,growth,0.00814609624419903,,0.9876543209876543,0.9876543209876543
fold_6,no_csa,return_on_equity,liquidity,0.012098598618289113,,1.0,1.0
fold_6,no_csa,distance_from_high,mean_reversion,0.00922346304446427,,0.8641975308641975,0.8641975308641975
fold_6,no_csa,macd_momentum,momentum,0.016125697244410143,,0.8888888888888888,0.8888888888888888
fold_6,no_csa,net_profit_margin,quality,-0.0101647439531441,,0.9506172839506173,0.9506172839506173
fold_6,no_csa,atr_technical,technical,0.004328849546219859,,0.7469135802469136,0.7469135802469136
fold_6,no_csa,atr,volatility,0.004328849546219859,,0.7469135802469136,0.7469135802469136
fold_6,no_rpa,dividend_yield,fundamental,-0.036945768165752894,1.0,,1.0
fold_6,no_rpa,revenue_growth,growth,0.017917943327407405,0.9567901234567902,,0.9567901234567902
fold_6,no_rpa,book_to_market,liquidity,-0.017039749911622343,0.9382716049382716,,0.9382716049382716
fold_6,no_rpa,ema_reversion,mean_reversion,0.014286709041679758,0.8271604938271605,,0.8271604938271605
fold_6,no_rpa,atr_momentum,momentum,-0.02221004016367032,0.9876543209876543,,0.9876543209876543
fold_6,no_rpa,asset_turnover,quality,0.022043306226190565,0.9753086419753086,,0.9753086419753086
fold_6,no_rpa,macd,technical,-0.010771816079951663,0.7777777777777778,,0.7777777777777778
fold_6,no_rpa,historical_volatility,volatility,0.017010661038357418,0.9259259259259259,,0.925925925925926
fold_7,full,dividend_yield,fundamental,-0.03135692322331369,0.9259259259259259,0.30864197530864196,0.6790123456790124
fold_7,full,retained_earnings_growth,growth,0.016799920948141,0.7530864197530864,1.0,0.8518518518518519
fold_7,full,return_on_equity,liquidity,0.012948963847146003,0.654320987654321,0.9506172839506173,0.7728395061728395
fold_7,full,distance_from_high,mean_reversion,0.025030877032414956,0.8641975308641975,0.8395061728395061,0.854320987654321
fold_7,full,adx_momentum,momentum,0.03445596837895737,0.9382716049382716,0.8024691358024691,0.8839506172839506
fold_7,full,operating_profit_margin,quality,0.010774920658896693,0.6049382716049383,0.8765432098765432,0.7135802469135804
fold_7,full,bollinger_bands,technical,0.026771746201014315,0.9074074074074074,0.9074074074074074,0.9074074074074074
fold_7,full,std_dev,volatility,0.026771746201014315,0.9074074074074074,0.9074074074074074,0.9074074074074074
fold_7,no_csa,sales_to_price,fundamental,0.0008906389055456363,,0.7160493827160493,0.7160493827160493
fold_7,no_csa,retained_earnings_growth,growth,0.016799920948141,,1.0,1.0
fold_7,no_csa,return_on_equity,liquidity,0.012948963847146003,,0.9506172839506173,0.9506172839506173
fold_7,no_csa,distance_from_high,mean_reversion,0.025030877032414956,,0.8395061728395061,0.8395061728395061
fold_7,no_csa,volume_momentum,momentum,0.008022281862899319,,0.8148148148148148,0.8148148148148149
fold_7,no_csa,operating_profit_margin,quality,0.010774920658896693,,0.8765432098765432,0.8765432098765432
fold_7,no_csa,atr_technical,technical,0.019806272597999348,,0.9320987654320988,0.9320987654320989
fold_7,no_csa,atr,volatility,0.019806272597999348,,0.9320987654320988,0.9320987654320989
fold_7,no_rpa,dividend_yield,fundamental,-0.03135692322331369,0.9259259259259259,,0.925925925925926
fold_7,no_rpa,revenue_growth,growth,0.019787015427557803,0.7839506172839507,,0.7839506172839507
fold_7,no_rpa,high_low_spread,liquidity,0.02652217232275853,0.8888888888888888,,0.888888888888889
fold_7,no_rpa,distance_from_high,mean_reversion,0.025030877032414956,0.8641975308641975,,0.8641975308641975
fold_7,no_rpa,adx_momentum,momentum,0.03445596837895737,0.9382716049382716,,0.9382716049382716
fold_7,no_rpa,interest_coverage,quality,0.023870084999067984,0.8518518518518519,,0.8518518518518519
fold_7,no_rpa,bollinger_bands,technical,0.026771746201014315,0.9074074074074074,,0.9074074074074073
fold_7,no_rpa,historical_volatility,volatility,0.05266870439326111,1.0,,1.0
