fold,variant,test_window,n_selected,selected,cum_return_gross,cum_return_net,ann_return_net,ann_vol_net,sharpe_gross,sharpe_net,sortino_net,calmar_net,max_dd_net,mean_daily_turnover,ann_cost_drag,note
fold_3,single_alpha,2022-01-01..2022-06-30,1,operating_profit_margin,-0.16532005204775269,-0.16768815400697834,-0.3113465385643156,0.2536730485837656,-1.4001784058672881,-1.4215091510975961,-1.9504438911487885,-1.3939656062329082,-0.2233530993678583,0.011328432542610888,0.005709530001475887,
fold_3,gbm,2022-01-01..2022-06-30,8,,-0.33961172551380203,-0.37983242600392564,-0.6212742330298371,0.3572163460365337,-2.236690399170574,-2.5908478267552852,-4.113050305858952,-1.6356534895296593,-0.37983242600392564,0.25221391685508704,0.1271158140949639,
fold_3,no_agents_all_alphas,2022-01-01..2022-06-30,81,,-0.1982412040905117,-0.24073145466742496,-0.42861004094969446,0.2738669214848494,-1.5796039927645018,-1.978197496328345,-3.192453100843678,-1.7051729458571632,-0.25135869179195724,0.2187242675011247,0.11023703082056685,
fold_4,full,2022-07-01..2022-12-31,8,"cash_flow_yield,dividends_growth,high_low_spread,distance_from_high,adx_momentum,cash_conversion_cycle,rsi,ulcer_index",0.08243897276649248,0.015029630060325871,0.03004313750724208,0.30881243135819103,0.59682281593419,0.1833709619820898,0.3249459539865983,0.12502034005346502,-0.24030599736326197,0.2530516994876394,0.12753805654177028,
fold_4,no_csa,2022-07-01..2022-12-31,8,"earnings_yield,dividends_growth,debt_to_equity_liq,bollinger_position,adx_momentum,debt_to_equity,cci,volatility_ratio",0.0005423553879229104,-0.057941690586574834,-0.11169155051458712,0.23370866827184145,0.03480874459524784,-0.4765465386840171,-0.7872648033803911,-0.6150437863149169,-0.18159934788349918,0.23713198660624593,0.11951452124954795,
fold_4,no_rpa,2022-07-01..2022-12-31,8,"cash_flow_yield,revenue_growth,high_low_spread,distance_from_high,adx_momentum,cash_conversion_cycle,atr_technical,yang_zhang",0.06913625392710965,0.007115894736912098,0.014169172407501707,0.3600023804863492,0.4902409413240895,0.16079180817068067,0.2926720619592753,0.05538479892213488,-0.25583143178730416,0.23517325210608564,0.11852731906146714,
fold_4,single_alpha,2022-07-01..2022-12-31,1,yang_zhang,0.03809887041666027,-0.007777084906189113,-0.015372631802281433,0.15259852746818767,0.4307876541285289,-0.1568864331044265,-0.24740524659354599,-0.1125078330640115,-0.1366361024261764,0.1779741848381925,0.08969898915844904,
fold_4,gbm,2022-07-01..2022-12-31,8,,0.08540414047984402,0.017792115811791298,0.03561313293972357,0.2554280684226491,0.6841644445432115,0.18467093371536922,0.34642397395426394,0.17124620833171383,-0.2079645049468124,0.25335810276381704,0.1276924837929638,
fold_4,no_agents_all_alphas,2022-07-01..2022-12-31,81,,0.10574368876460305,0.04314032145087543,0.0874182160544581,0.26062267209159384,0.8173467746676416,0.37371099787496276,0.62366441855052,0.39834723553189644,-0.21945229753567186,0.22962924716605132,0.1157331405716898,
fold_5,full,2023-01-01..2023-06-30,8,"sales_to_price,ebitda_growth,price_to_sales,distance_from_low,price_momentum,net_profit_margin,bollinger_bands,std_dev",0.08496430466579064,0.046021039939138975,0.09574923568972027,0.1746214133687967,0.9188307232007917,0.49579588353227233,0.8198156923105083,0.6318340200855569,-0.15154175407768455,0.14766801166189944,0.07442467787759734,
fold_5,no_csa,2023-01-01..2023-06-30,8,"sales_to_price,book_value_growth,debt_to_equity_liq,ema_reversion,atr_momentum,earnings_stability,bollinger_bands,chaikin_volatility",0.1901075918837274,0.13915422300910607,0.30313764755927197,0.17141920315667727,2.0324556690954876,1.5138616729336432,2.2709416729048924,3.231582793561952,-0.09380469785988188,0.1766719480668507,0.08904266182569275,
fold_5,no_rpa,2023-01-01..2023-06-30,8,"cash_flow_yield,ebitda_growth,price_to_cash_flow,distance_from_low,price_momentum,interest_coverage,atr_technical,atr",0.19034557832085275,0.16361217201303146,0.3606278562438936,0.18845613016689583,1.8674849812953414,1.6224038827728573,2.68921711182366,3.275969404002771,-0.11008279131156029,0.09171027061386762,0.04622197638938928,
fold_5,single_alpha,2023-01-01..2023-06-30,1,price_to_cash_flow,0.14632449198823427,0.14068927992213687,0.3067088383912655,0.24039058214799636,1.1914844595009029,1.1494658644134552,1.9098799081685367,1.5922716031873037,-0.1926234429963557,0.019853388358467974,0.010006107732667859,
fold_5,gbm,2023-01-01..2023-06-30,8,,0.18751230826747634,0.11519051184805207,0.24803142455900384,0.20590764555649607,1.7018999181407892,1.0816702821440405,1.7113843130566042,1.6430271170892063,-0.15096003101787958,0.25366582320642483,0.12784757489603815,
fold_5,no_agents_all_alphas,2023-01-01..2023-06-30,81,,0.0625780800573228,0.013996744938457262,0.02865051886078729,0.133557974896697,0.8412131066012193,0.12798882316245777,0.2190851681394462,0.3973263890274059,-0.07210827081211335,0.18870618798246774,0.09510791874316374,
fold_6,full,2023-07-01..2023-12-31,8,"sales_to_price,dividends_growth,price_to_sales,distance_from_high,macd_momentum,asset_turnover,atr_technical,chaikin_volatility",0.05465114432999929,-0.005159304536878184,-0.010291990650452165,0.1377240131823566,0.6953541873586647,-0.15203409327428735,-0.22830362288046865,-0.07133527668648626,-0.14427631220503667,0.2317503467705482,0.1168021747723563,
fold_6,no_csa,2023-07-01..2023-12-31,8,"sales_to_price,retained_earnings_growth,return_on_equity,distance_from_high,macd_momentum,net_profit_margin,atr_technical,atr",0.08300492317504626,0.05703455867420981,0.11732205823158148,0.1423975527093305,1.0522698785954687,0.709388540810001,1.11876217041743,0.9154366062503485,-0.12815967531835504,0.09628700563396829,0.048528650839520016,
fold_6,no_rpa,2023-07-01..2023-12-31,8,"dividend_yield,revenue_growth,book_to_market,ema_reversion,atr_momentum,asset_turnover,macd,historical_volatility",0.13940316264779873,0.08761255662395873,0.18290107332610384,0.17996510238230773,1.427579729722354,0.9113468376025358,1.8432005513984877,1.2624461517895706,-0.14487831664489914,0.1848067924698971,0.0931426234048281,
fold_6,single_alpha,2023-07-01..2023-12-31,1,dividend_yield,0.08657654712409579,0.07869875278696825,0.16359099926416087,0.15092867504341728,1.0442419049643656,0.9465057067049025,1.3941960210338213,1.0603518730248886,-0.1542799172858358,0.02882821838679771,0.014529422066946048,
fold_6,gbm,2023-07-01..2023-12-31,8,,0.19391506977506268,0.12437979985050807,0.2642299343118686,0.1308530922186225,2.631756218006185,1.704688048618394,2.846211458544014,2.6538971077506823,-0.09956299117256184,0.23827107429112754,0.12008862144272829,
fold_6,no_agents_all_alphas,2023-07-01..2023-12-31,81,,0.005181469791282645,-0.0484339427622007,-0.09452203871290932,0.13088321443304174,-0.009421059432069315,-0.8463433206502363,-1.204315652650579,-0.48412433127516735,-0.19524331376599358,0.21734831343914415,0.10954354997332864,
fold_7,full,2024-01-01..2024-06-28,8,"dividend_yield,retained_earnings_growth,return_on_equity,distance_from_high,adx_momentum,operating_profit_margin,bollinger_bands,std_dev",0.11136076181871468,0.07488049414501119,0.15806245664288054,0.11786662150663599,1.7117676568599947,1.1342212594507877,1.6560359487365408,2.947561874580726,-0.05362481378456696,0.1346430748244047,0.06786010971149999,
fold_7,no_csa,2024-01-01..2024-06-28,8,"sales_to_price,retained_earnings_growth,return_on_equity,distance_from_high,volume_momentum,operating_profit_margin,atr_technical,atr",0.10438013596296858,0.042547256802812905,0.08836667025629974,0.14587056514654625,1.3201755206818107,0.5159370920205345,0.7751837476943951,0.8861279882464882,-0.09972224264258245,0.23241274542098972,0.1171360236921788,
fold_7,no_rpa,2024-01-01..2024-06-28,8,"dividend_yield,revenue_growth,high_low_spread,distance_from_high,adx_momentum,interest_coverage,bollinger_bands,historical_volatility",0.12806879477209976,0.050480932957716496,0.10526467311944554,0.13774795263811207,1.7046399712514368,0.6500790598989971,0.8424200304982984,1.357774563422782,-0.07752735686407786,0.2874590998752081,0.1448793863371049,
fold_7,single_alpha,2024-01-01..2024-06-28,1,historical_volatility,0.12139854027473884,0.08947709033704787,0.1902461585857056,0.198431654062898,1.1707568822732086,0.8754918574458329,1.3213250245895232,2.3935378118320094,-0.07948324762001213,0.11658879981210067,0.05876075510529874,
fold_7,gbm,2024-01-01..2024-06-28,8,,0.15402054174468538,0.09648403210362533,0.20585481026671415,0.1258915480571697,2.21423391249127,1.3910192374467194,2.184707294032293,2.547263645945717,-0.08081409656764715,0.20646013350080988,0.1040559072844082,
fold_7,no_agents_all_alphas,2024-01-01..2024-06-28,81,,0.09481207381922796,0.04339110553869685,0.09015770635068221,0.13967657418874863,1.2463522351022727,0.5442821429954444,0.7916922798529251,1.0163420765376137,-0.08870803288772977,0.19401384583606612,0.09778297830137732,
